trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-149.6629559223304,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0}",25,0,-105.4186944304338,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0}",20,0,-96.7466690675215,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0}",30,0,-50.8708710617924,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0}",25,0,-240.0985164137364,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0}",25,0,-142.66265758980387,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0}",25,0,-119.12443379975272,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0}",30,0,12.348842830034165,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0}",25,0,-145.17799965408375,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0}",30,19,5.054936978787001,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0}",30,0,-103.56469015919197,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0}",25,0,-47.51796912275324,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0}",20,0,-71.76119808103208,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0}",20,0,-27.523921306688216,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0}",20,0,12.506269823129626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",20,0,-69.03251191961337,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0}",25,0,-4.956107490670508,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0}",20,0,-54.84044569178205,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,-76.19859266954396,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0}",25,0,21.762837740506683,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,14,-0.5725078945912081,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-35.40255993141433,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-66.56335482809166,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,6,-17.972301514397685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-35.93536668958274,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-20.278518747100343,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,10.727448075575829,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-77.87182145723219,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,3,-69.65875547063744,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,14,16.329835662596818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
