trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-96.73003390769603,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0}",35,0,-82.38410816162062,"{0: 27, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0}",30,0,-172.5171531009874,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0}",25,9,-28.852482175238507,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0}",20,0,-38.96670329441714,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0}",25,0,-16.758062566716664,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0}",20,0,-151.16032014785227,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0}",20,0,-118.25093540182647,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0}",30,19,-32.478362683227864,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0}",25,0,-53.77222072750658,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0}",20,0,-2.0804075159087607,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0}",20,0,14.70796789161957,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0}",20,0,-2.7947051461548984,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",20,0,-48.568747921233964,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0}",25,14,6.6618672963918755,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0}",25,0,8.744407534756917,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0}",20,0,-10.776884746909344,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0}",20,0,-158.58218451821213,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0}",20,0,-38.63988540709305,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",25,14,22.88748983513464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,43.71804114512244,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,22,1.9575510783043641,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,25.470132472629132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,17.837775161730107,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-31.460162401006514,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-3.178807766515213,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,-48.92693836796625,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,8,7.474939527545864,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-75.56912554271582,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-164.98209582019206,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 5}",0
