trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-87.4921031958915,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0}",30,0,-86.21136196932069,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0}",20,0,-160.75407413687958,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0}",20,0,-89.88561801710254,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0}",25,14,-7.019781852689656,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0}",25,0,-202.93427663053944,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 5}",0
