trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-57.93328092107065,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0}",25,15,-89.80269781094961,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0}",25,0,-98.91741737058055,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0}",20,0,-130.49523519739785,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-143.65206461775057,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0}",25,0,-56.564886212439134,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0}",25,0,-156.45051826041535,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0}",20,0,-12.355705302045058,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0}",30,0,-123.72241565948075,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0}",20,0,18.77056409074751,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0}",25,14,6.740991308011056,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0}",20,0,-17.483040321399752,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0}",20,0,9.129537548268841,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",20,0,3.0106232955735766,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0}",20,0,24.651629804890312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",25,0,-52.20496553567055,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0}",25,12,-58.23270483375845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0}",20,11,7.824928416432673,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0}",30,0,-20.27106821418697,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,-71.36600015076576,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,23.434169920051886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,23.665145723307013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,4,-29.32398038699544,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,12.258916480410091,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-82.34414093134549,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-39.501771502771916,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,7.324607507953326,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-21.70738824496657,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,0,47.03584749338015,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-23.42249415068291,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
